Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RUN",SKRPABE010,2,SW_Push,
"C1, C2",0603,2,27p,
"C10, C12, C9",0603,3,1u,
"C11, C13, C14, C15, C16, C17, C18, C4, C7, C8",0603,10,100n,
"C3, C5, C6",0603,3,10u,
CH1,SWD_PIN,1,SWD,
D1,0603,1,RED,
D2,0603,1,BLUE,
J1,USB-C-12-Pin-MidMount-ali-v2,1,217179-0001,
"J2, J8",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"R1, R4, R5, R6",0603,4,5.1k,
"R10, R9",0603,2,27,
R11,0603,1,10k,
"R2, R3",0603,2,1k,
R7,0603,1,200,
R8,0603,1,1R,
U1,W25Q16-128JV-SOIC,1,W25Q32JVS,
U2,SOT-23,1,CH213K,
U3,Regulator-AMS1117-SOT-223,1,AMS1117-3.3,
U4,RP2040_hand,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12M,
